keyword,status
clactxnbs,Internal
clactxvar,Internal
clalev,Public
clanam,Public
clanbs,Public
clasiz,Public
clavar,Public
Clbfile,Public
Clldap,Deprecated
clone,Internal
Close,Public
Closecom,Internal
closelog,Public
CloseXml,Internal
cnp,Public
Coded,Internal
Columns,Public
Commit,Public
Const,Public
Convxml,Internal
cop$,Deprecated
cos,Public
ctrans,Public
ctxinfo,Deprecated
Curr,Public
currbox,Deprecated
currind,Public
currlen,Public
Date,Public
date$,Public
datesyst,Internal
Datetime,Public
datetime$,New
day,Public
day$,Public
dayn,Public
Dbgaff,Public
Dbgattach,Internal
Dbgbox,Deprecated
dbgbreakpointadd,Internal
dbgbreakpointget,Internal
dbgbreakpointlist,Internal
Dbgbreakpointremove,Internal
Dbgbreakpointupdate,Internal
Dbgcallstack,Internal
dbgduration,Internal
dbgevalue,Internal
dbgevalue2,Internal
dbgexcept,Internal
dbglineoffset,Internal
dbglog,Internal
dbglong,Internal
dbgmode,Public
dbgstr,Internal
dclkey,Deprecated
Decimal,Public
Default,Public
Dela,Public
Delete,Public
Deletebykey,New
delfile,Public
Desc,Public
dim,Public
dimctx,Internal
dir$,Public
Disable,Deprecated
Discombo,Deprecated
Dislbox,Deprecated
Diszo,Deprecated
Dlgbox,Deprecated
Double,Public
Dspzo,Deprecated
Edi,Deprecated Classic
Effzo,Deprecated
Else,Public
Elsif,Public
Enable,Deprecated
End,Public
Endbox,Deprecated
Endcase,Public
Endif,Public
entete,Deprecated
Envzo,Deprecated
eomonth,Public
Errbox,Deprecated
errl,Public
errm,Public
errmes$,Public
errn,Public
errnremote,Internal
errp,Public
escjson,Public
evalue,Public
evaluesdata,Public
Execsql,Public
Execws,Deprecated
exp,Public
Extended,Public
Extern,Deprecated
extsize,New
fac,Public
Field,Deprecated
filcom,Internal
File,Public
fileabre,Internal
filecla,Internal
filelev,Internal
filename,Internal
filenume,Internal
filetyp,Internal
filexist,Public
filinfo,Public
Fillbox,Deprecated
filpath,Public
Filter,Public
find,Public
First,Public
fix,Public
Float,Public
Flush,Public
fmet,New
Fmethod,New
Folder,Deprecated
For,Public
format$,Public
Formula,Deprecated
FreeGroup,New
freeheap,Public
FreeInstance,New
freemem,Public
freesnapshot,New
freesyssnapshot,Internal
From,Public
fstat,Public
func,Public
funciu,Deprecated
Funprog,Public
gdat$,Public
gdatetime$,Public
getaccessorenabled,New
getBit,Public
GetChildByName,Internal
GetChildByType,Internal
getenv$,Public
GetFirstChild,Internal
GetFirstChildByName,Internal
GetLastChild,Internal
GetLastChildByName,Internal
getlogname,Public
getmodified,New
GetNbChild,Internal
GetNextChild,Internal
GetNextChildByName,Internal
GetParent,Internal
GetRootElement,Internal
Getseq,Public
getsysmodified,Internal
Getui,Deprecated
Getuuid,New
Global,Public
Gosub,Public
Goto,Public
graph$,Deprecated
Grizo,Deprecated
heapdmp,Public
Hint,Public
Hlpbox,Deprecated
If,Public
Image,Deprecated
indcum,Public
indice,Deprecated
Infbox,Deprecated
Infimg,Deprecated
Inftxt,Deprecated
Inpbox,Deprecated
inpmode,Deprecated
Insa,Public
Insli,Deprecated
Instance,New
instr,Public
int,Public
Integer,Public
Inter,Internal
Invfol,Deprecated
Iomode,Public
isomess,Internal
IsOpenAdxd,Internal
isreadonly,New
jsonproto,Internal
Key,Public
keylen,Deprecated
keyname,Deprecated
keyuniq,Deprecated
Kill,Public
Last,Public
left$,Public
Leftbox,Deprecated
len,Public
Libelle,"Deprecated, replaced by [Tinyint](../4gl/tinyint.md)"
Link,Public
Listbox,Deprecated
Listimp,Deprecated
ln,Public
lobsize,Public
Local,Public
locfshost,Deprecated
locfsqon,Deprecated
locfsqport,Deprecated
Lock,Public
lockwait,Public
log,Public
LogicClose,Public
Look,Public
Mask,Deprecated
maskabr,Deprecated
maskcla,Deprecated
maskcou,Deprecated
masklev,Deprecated
masknam,Deprecated
masknbf,Deprecated
maskrk,Deprecated
masksiz,Deprecated
max,Public
maxheap,Internal
maxmem,Internal
Maxrows,Deprecated
maxtab,New
Men,Deprecated
menchoix,Deprecated
Mesbox,Deprecated
mess,Public
messname,Internal
Method,Internal
mid$,Public
min,Public
mkstat,Deprecated
mod,Public
modified,New
month,Public
month$,Public
Nap,Deprecated
nbind,Public
nbrecord,Public
nbruser,Internal
nbzon,Public
nday,Public
nday$,Public
NewInstance,New
Next,Public
Nohint,Public
Nointer,Internal
nolign,Deprecated
nolign1,Deprecated
nomap,Public
not,Public
Null,New
Nulluuid,New
num$,Public
Nxldap,Deprecated
Nxt,Deprecated
objectexist,Public
objectnbs,Public
objecttype,Public
objectvar,Public
Onerrgo,Public
Onevent,Deprecated
Onintgo,Internal
Onkey,Deprecated
Opadxd,Internal
Openi,Public
Openio,Public
openlog,Public
Openo,Public
Opldap,Internal
Opsock,Internal
or,Public
Order By,Public
parse,Public
password,Deprecated
pat,Public
pcolor,Deprecated
pi,Public
Pick,Deprecated
Pickbox,Deprecated
Pikltb,Deprecated
Pmt,Deprecated Classic
Pokltb,Deprecated
prd,Public
Prev,Public
progcan,Internal
progldd,Internal
progsiz,Internal
progusd,Internal
pullobject,Internal
pullscript,Internal
pushscript,Internal
Putseq,Public
Qstbox,Deprecated
Raz,Public
Rdseq,Public
Read,Public
Readlock,Public
Reb,Deprecated
reckey,Public
RenameFile,New
renamefile,New
Repeat,Public
Report,Internal
Resume,Public
Return,Public
reverttosnapshot,New
reverttosyssnaphot,Internal
revertupdtick,New
Rewrite,Public
Rewritebykey,New
right$,Public
rnd,Public
Rollback,Public
rowcount,Public
Rptfile,Internal
Rptstat,Internal
Run,Internal
sadmem,Internal
Saizo,Deprecated
Saxparse,Internal
Schar,Public
secmod,Deprecated
Seek,Public
seg$,Public
Seldest,Deprecated Classic
Selimp,Deprecated
Send,Deprecated Classic
setaccessorenabled,New
setBit,Public
Setcod,Deprecated
Setfct,Internal
Setgus,Internal
SetInstance,New
Setlbox,Deprecated
Setlob,Public
Setmdu,Internal
Setmode,Deprecated
Setmok,Deprecated
sgn,Public
sh,Public
Shortint,Public
sigma,Public
sin,Public
Sized,Deprecated
Sleep,Public
snapshot,New
snapshotenabled,New
Sorta,Public
space$,Public
Sql,Public
sqr,Public
Srldapbs,Deprecated
Srldaplv,Deprecated
Srldaptr,Deprecated
Ssl,Deprecated
Stability,Public
Starting,Deprecated
stat1,Public
status,Deprecated
Step,Public
strdecode,New
strencode,New
string$,Public
Subprog,Public
sum,Public
Supli,Deprecated
Syrrecv,Internal
Syrsend,Internal
sysmodified,Internal
syssnapshot,Internal
syssnapshotenabled,Internal
System,Public
tab$,Deprecated
tairec,Public
tan,Public
th,Public
Then,Public
this,New
Throwerr,Deprecated
time,Public
time$,Public
timestamp$,Public
Timeval,Deprecated
Tinyint,New
Titcol,Deprecated
Titled,Deprecated
titre,Deprecated
To,Public
tolower,Public
toSData,Public
toupper,Public
touuid,New
Transmask,Deprecated
Trbegin,Public
Treebox,Deprecated
trtcou,Public
type,Public
typectx,Internal
unescjson,Public
uni,Public
uniqid,Public
Unlock,Public
Until,Public
Update,Public
updtick,New
Using,Public
uuid$,New
Uuident,New
val,Public
Value,Public
var,Public
Variable,Public
varinit,Deprecated
varmode,Deprecated
Vbcall,Deprecated
ver$,Public
vireblc,Public
week,Public
Wend,Public
When,Public
Where,Public
While,Public
With,Public
Write,Public
Writeb,New
Wrnbox,Deprecated
Wrseq,Public
xgetchar,New
xor,Public
year,Public
zc,Deprecated
zoncou,Deprecated
zonsor,Deprecated
zonsui,Deprecated
